date,open,high,low,close,volume,log_close,log_returns,RV_5,RV_10,RV_20,RV_30,is_tet_period,day_of_week,is_monday,is_friday,is_month_end,overnight,parkinson,gk,close_to_close
2012-05-21,15.03,16.7,15.03,16.65,2502080,2.8124102164264526,0.0,,,,,0,0,1,0,0,0.0,0.004003781076738809,0.0015028339078877748,0.0
2012-05-22,17.47,17.47,17.26,17.47,1934550,2.8604851241459652,0.048074907719512616,,,,,0,1,0,0,0,0.002311196752239638,5.274898990781068e-05,7.312562726396797e-05,0.002311196752239638
2012-05-23,17.43,17.47,16.61,16.61,1055780,2.8100049236252036,-0.05048020052076163,,,,,0,2,0,0,0,5.25447706075954e-06,0.0009190871419825098,0.0003771200066298267,0.0025482506446163006
2012-05-24,15.84,16.25,15.8,15.8,1009380,2.760009940032921,-0.049994983592282605,,,,,0,3,0,0,0,0.0022530721574541327,0.0002844464911382187,0.00039185697103129487,0.0024994983843925826
2012-05-25,15.8,16.17,15.07,15.84,877260,2.7625383863862796,0.002528446353358582,0.04143639383410191,,,,0,4,0,1,1,0.0,0.0017901813171519732,0.002479248669676002,6.3930409618128605e-06
2012-05-28,15.92,15.92,15.23,15.27,457400,2.725890119230541,-0.036648267155738434,0.04245965397872067,,,,0,0,1,0,1,2.5379368688271206e-05,0.0007081067099520988,0.00031036992849619834,0.0013430954855183999
2012-05-29,14.75,15.03,14.66,14.91,418300,2.702032128776647,-0.02385799045389403,0.02205091220156985,,,,0,1,0,0,1,0.00120041713440122,0.000224079723579916,0.0002656744364022713,0.0005692037084980948
2012-05-30,15.03,15.4,14.91,15.35,170280,2.731115474033206,0.029083345256558868,0.031699063626933185,,,,0,2,0,0,1,6.425745821702478e-05,0.00037711213096147217,0.0003513394420506809,0.000845840971312222
2012-05-31,15.11,15.35,14.91,15.11,269030,2.715356776284648,-0.01575869774855798,0.0255640800463995,,,,0,3,0,0,1,0.00024833655473040456,0.00030507264367321166,0.000422920485656111,0.00024833655473040456
2012-06-01,15.03,15.19,15.03,15.11,138370,2.715356776284648,0.0,0.025304425767554036,0.0323691871966288,,,0,4,0,1,0,2.8180942197604457e-05,4.044210015646932e-05,4.517851633677922e-05,0.0
2012-06-04,14.95,14.95,14.46,14.46,383250,2.671386216730619,-0.043970559554029176,0.027398249325873588,0.033856640249313376,,,0,0,1,0,0,0.00011332616880391741,0.0004005502709863773,0.0001262770666711198,0.0019334101074944552
2012-06-05,14.22,14.58,14.22,14.46,330550,2.671386216730619,0.0,0.026644667611505583,0.02670453398656503,,,0,1,0,0,0,0.00028012021835192207,0.000225444584316729,0.00020432369519827966,0.0
2012-06-06,14.46,14.62,14.34,14.54,101300,2.6769034721053733,0.005517255374754448,0.020151913919591005,0.025176308793320435,,,0,2,0,0,0,0.0,0.00013487161344812723,0.00017521291556241243,3.0440106870259173e-05
2012-06-07,14.75,15.23,14.54,15.23,280210,2.7232671669070703,0.046363694801697,0.032019242472573144,0.02787134935407628,,,0,3,0,0,0,0.00020562443446703473,0.000775301500154854,0.0006786350201230249,0.0021495921956649323
2012-06-08,15.35,15.96,15.19,15.23,300060,2.7232671669070703,0.0,0.032019242472573144,0.027820248944788902,,,0,4,0,1,0,6.159592474615045e-05,0.0008818949315503593,0.0011987718123110712,0.0
2012-06-11,15.03,15.4,14.95,14.95,106110,2.7047112998366956,-0.01855586707037471,0.02399083300170711,0.025983519580713727,,,0,0,1,0,0,0.00017474098655450736,0.0003172092419512188,0.000428742737452736,0.0003443202027334303
2012-06-12,14.75,15.23,14.75,14.75,126760,2.691243082785829,-0.013468217050866649,0.025626579706873313,0.025213957021185427,,,0,1,0,0,0,0.00018139287052925364,0.0003698860763510179,0.0005127709819021775,0.00018139287052925364
2012-06-13,14.91,14.91,14.66,14.79,33550,2.6939512767227085,0.0027081939368795993,0.025615005635726308,0.0229896319535787,,,0,2,0,0,0,0.00011640351339199175,0.0001031270519959509,0.00011773936324154758,7.334314399751191e-06
2012-06-14,14.71,14.95,14.66,14.79,88860,2.6939512767227085,0.0,0.009502145865567848,0.022609413616019897,,,0,3,0,0,0,2.9416978468868393e-05,0.0001383953484446335,0.0001804930782503089,0.0
2012-06-15,14.79,15.15,14.79,15.07,80460,2.712706012638404,0.01875473591569543,0.014684004145945569,0.023564397019818464,0.027978374211239162,,0,4,0,1,0,0.0,0.0002086016842695939,0.0001533081139703819,0.0003517401192674868
2012-06-18,15.15,15.44,15.15,15.4,181580,2.7343675094195836,0.02166149678117968,0.014437707519138082,0.018670761245531638,0.02859401179137634,,0,0,1,0,0,2.8031934797810943e-05,0.0001296694304127745,7.62802581299848e-05,0.00046922044280104844
2012-06-19,15.4,15.52,15.27,15.4,263540,2.7343675094195836,0.0,0.01068119424467915,0.018670761245531638,0.02588719101325347,,0,1,0,0,0,0.0,9.511615079684055e-05,0.00013185898350108924,0.0
2012-06-20,15.4,15.72,15.4,15.6,224150,2.747270914255491,0.012903404835907573,0.010233055129119461,0.018782202894939804,0.02400607221972393,,0,2,0,0,0,0.0,0.00015255482003716543,0.0001471687037290241,0.00016649785635932835
